# image: /data/Lockheed1-Spring26/artifact_analysis/ws_train1/median_image_20260324_150636.png
# artifact_detected: True
# n_points: 720
# n_rejected: 0
# affected_edges: bottom,left,right,top
x,y
789.0,22.0
793.0,24.0
797.0,25.0
801.0,26.0
805.0,27.0
810.0,28.0
814.0,29.0
818.0,30.0
822.0,31.0
826.0,32.0
830.0,33.0
834.0,34.0
839.0,35.0
843.0,37.0
847.0,38.0
851.0,39.0
855.0,41.0
859.0,42.0
863.0,44.0
867.0,45.0
871.0,46.0
875.0,48.0
880.0,49.0
884.0,51.0
888.0,52.0
892.0,54.0
896.0,55.0
900.0,57.0
918.0,36.0
923.0,37.0
927.0,39.0
944.0,22.0
948.0,24.0
961.0,15.0
966.0,16.0
971.0,18.0
975.0,21.0
979.0,24.0
983.0,27.0
987.0,30.0
991.0,33.0
995.0,36.0
999.0,38.0
1004.0,41.0
1008.0,43.0
1037.0,17.0
1044.0,18.0
1050.0,18.0
1056.0,20.0
1062.0,21.0
1070.0,21.0
1077.0,21.0
1085.0,21.0
1093.0,21.0
1102.0,20.0
1110.0,20.0
1116.0,22.0
1121.0,26.0
1125.0,30.0
1130.0,33.0
1134.0,38.0
1137.0,42.0
1141.0,46.0
1179.0,22.0
1188.0,22.0
1195.0,24.0
1199.0,29.0
1203.0,34.0
1207.0,39.0
1211.0,44.0
1215.0,49.0
1218.0,54.0
1222.0,59.0
1226.0,64.0
1230.0,69.0
1233.0,75.0
1236.0,80.0
1240.0,85.0
1243.0,91.0
1246.0,96.0
1250.0,101.0
1253.0,107.0
1256.0,112.0
1259.0,117.0
1262.0,123.0
1265.0,129.0
1228.0,156.0
1231.0,161.0
1234.0,167.0
1236.0,172.0
1239.0,177.0
1242.0,182.0
1244.0,188.0
1247.0,193.0
1249.0,198.0
1252.0,204.0
1254.0,209.0
1256.0,214.0
1259.0,220.0
1261.0,225.0
1262.0,231.0
1263.0,237.0
1264.0,243.0
1264.0,249.0
1264.0,255.0
1265.0,261.0
1265.0,267.0
1265.0,273.0
1265.0,279.0
1265.0,285.0
1265.0,291.0
1265.0,297.0
1265.0,303.0
1265.0,309.0
1263.0,316.0
1260.0,322.0
1260.0,328.0
1261.0,333.0
1262.0,339.0
1263.0,344.0
1263.0,350.0
1264.0,356.0
1265.0,361.0
1265.0,367.0
1265.0,372.0
1265.0,378.0
1265.0,383.0
1265.0,389.0
1262.0,395.0
1263.0,400.0
1263.0,406.0
1261.0,412.0
1260.0,417.0
1237.0,425.0
1238.0,430.0
1238.0,435.0
1239.0,441.0
1240.0,446.0
1241.0,451.0
1240.0,456.0
1240.0,462.0
1240.0,467.0
1240.0,472.0
1240.0,477.0
