image_path,relative_path,dataset,location,top_category,confidence,is_empty,fish,coral,marine_animal,vegetation,sand_seafloor,rocks,shipwreck_debris,man_made_structure,diver,open_water,murky_turbid,dark_overexposed,blurry_corrupt
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03906.png,2023-09-03-11-37-57/camera/03906.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7161,False,0.0000,0.0011,0.0000,0.0012,0.0010,0.0307,0.7161,0.2176,0.0006,0.0014,0.0207,0.0015,0.0081
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03907.png,2023-09-03-11-37-57/camera/03907.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6702,False,0.0000,0.0022,0.0000,0.0018,0.0017,0.0506,0.6702,0.2333,0.0006,0.0022,0.0264,0.0021,0.0089
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03908.png,2023-09-03-11-37-57/camera/03908.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6727,False,0.0000,0.0032,0.0000,0.0022,0.0015,0.0511,0.6727,0.2371,0.0004,0.0010,0.0232,0.0012,0.0063
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03909.png,2023-09-03-11-37-57/camera/03909.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7035,False,0.0000,0.0014,0.0000,0.0013,0.0011,0.0300,0.7035,0.2258,0.0005,0.0012,0.0244,0.0018,0.0090
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03910.png,2023-09-03-11-37-57/camera/03910.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6205,False,0.0001,0.0018,0.0001,0.0019,0.0019,0.0117,0.6205,0.3216,0.0003,0.0010,0.0272,0.0022,0.0096
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03911.png,2023-09-03-11-37-57/camera/03911.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6052,False,0.0000,0.0009,0.0001,0.0012,0.0014,0.0109,0.6052,0.3445,0.0003,0.0005,0.0283,0.0017,0.0051
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03912.png,2023-09-03-11-37-57/camera/03912.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7552,False,0.0000,0.0014,0.0001,0.0017,0.0016,0.0117,0.7552,0.1843,0.0003,0.0008,0.0325,0.0022,0.0084
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03913.png,2023-09-03-11-37-57/camera/03913.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7036,False,0.0000,0.0015,0.0001,0.0020,0.0011,0.0177,0.7036,0.2003,0.0007,0.0006,0.0631,0.0025,0.0067
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03914.png,2023-09-03-11-37-57/camera/03914.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6602,False,0.0002,0.0024,0.0001,0.0031,0.0028,0.0201,0.6602,0.1657,0.0007,0.0022,0.1218,0.0063,0.0141
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03915.png,2023-09-03-11-37-57/camera/03915.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.7168,False,0.0000,0.0009,0.0001,0.0017,0.0019,0.0086,0.7168,0.2288,0.0003,0.0007,0.0329,0.0022,0.0051
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03916.png,2023-09-03-11-37-57/camera/03916.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.6544,False,0.0000,0.0011,0.0000,0.0013,0.0038,0.0135,0.6544,0.2720,0.0005,0.0009,0.0435,0.0028,0.0060
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03917.png,2023-09-03-11-37-57/camera/03917.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5619,False,0.0000,0.0014,0.0001,0.0020,0.0032,0.0166,0.5619,0.2874,0.0009,0.0018,0.1009,0.0066,0.0171
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03918.png,2023-09-03-11-37-57/camera/03918.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.8152,False,0.0001,0.0010,0.0001,0.0006,0.0016,0.0186,0.8152,0.1098,0.0005,0.0010,0.0374,0.0037,0.0105
/Users/ethanknox/Desktop/Advance Spring 26 (Lockheed Martin)/Sunboat_03-09-2023/2023-09-03-11-37-57/camera/03919.png,2023-09-03-11-37-57/camera/03919.png,sunboat,2023-09-03-11-37-57,shipwreck_debris,0.5607,False,0.0001,0.0020,0.0002,0.0031,0.0040,0.0156,0.5607,0.1304,0.0007,0.0011,0.2543,0.0073,0.0205
